l3,l2,l1,l0
D07CB,D07C,D07,D
J01EC,J01E,J01,J
C03AB,C03A,C03,C
N02AA,N02A,N02,N
G03XA,G03X,G03,G
L01XB,L01X,L01,L
C08CA,C08C,C08,C
N05CD,N05C,N05,N
S01FA,S01F,S01,S
J01XB,J01X,J01,J
R05DA,R05D,R05,R
C08DA,C08D,C08,C
D11AH,D11A,D11,D
H01BA,H01B,H01,H
N06DX,N06D,N06,N
S01BA,S01B,S01,S
D06AX,D06A,D06,D
L01CD,L01C,L01,L
N01BA,N01B,N01,N
B02BA,B02B,B02,B
M04AC,M04A,M04,M
N01BB,N01B,N01,N
A06AX,A06A,A06,A
C07AG,C07A,C07,C
B05CB,B05C,B05,B
A03CB,A03C,A03,A
S01XA,S01X,S01,S
A08AA,A08A,A08,A
B01AX,B01A,B01,B
R06AB,R06A,R06,R
V04CX,V04C,V04,V
S01EB,S01E,S01,S
C02AC,C02A,C02,C
S01EA,S01E,S01,S
J01CE,J01C,J01,J
J05AJ,J05A,J05,J
B01AB,B01A,B01,B
C03CB,C03C,C03,C
J01EA,J01E,J01,J
N05BE,N05B,N05,N
S01AA,S01A,S01,S
C01DA,C01D,C01,C
C09AA,C09A,C09,C
M03AC,M03A,M03,M
C02AB,C02A,C02,C
M05BA,M05B,M05,M
N02BB,N02B,N02,N
G01AF,G01A,G01,G
J02AB,J02A,J02,J
C03DA,C03D,C03,C
C01AB,C01A,C01,C
L01CB,L01C,L01,L
D04AX,D04A,D04,D
C04AD,C04A,C04,C
C01BC,C01B,C01,C
L01AD,L01A,L01,L
N02BE,N02B,N02,N
N07AB,N07A,N07,N
H03BB,H03B,H03,H
V03AH,V03A,V03,V
M04AA,M04A,M04,M
C04AC,C04A,C04,C
J06BA,J06B,J06,J
C03BB,C03B,C03,C
J07BF,J07B,J07,J
C01DX,C01D,C01,C
R01BA,R01B,R01,R
P02CF,P02C,P02,P
B05XA,B05X,B05,B
N05AE,N05A,N05,N
G02CB,G02C,G02,G
G03GA,G03G,G03,G
N07BB,N07B,N07,N
J01DB,J01D,J01,J
J05AX,J05A,J05,J
N02CA,N02C,N02,N
J01DC,J01D,J01,J
A03AA,A03A,A03,A
A10BF,A10B,A10,A
L01AA,L01A,L01,L
L01EX,L01E,L01,L
L01XA,L01X,L01,L
J01CR,J01C,J01,J
C01CA,C01C,C01,C
A12AA,A12A,A12,A
J01DF,J01D,J01,J
C01BA,C01B,C01,C
N05AA,N05A,N05,N
S01AD,S01A,S01,S
B02AA,B02A,B02,B
M01CC,M01C,M01,M
R03BA,R03B,R03,R
C05AD,C05A,C05,C
H05BA,H05B,H05,H
M01AH,M01A,M01,M
G03DA,G03D,G03,G
C07AB,C07A,C07,C
A06AD,A06A,A06,A
A07BC,A07B,A07,A
N04AC,N04A,N04,N
S01BC,S01B,S01,S
C10AD,C10A,C10,C
J04AC,J04A,J04,J
A02BA,A02B,A02,A
M01AX,M01A,M01,M
S01KA,S01K,S01,S
N05AB,N05A,N05,N
R06AA,R06A,R06,R
A07AC,A07A,A07,A
J04AK,J04A,J04,J
R01AC,R01A,R01,R
A03BA,A03B,A03,A
A10AD,A10A,A10,A
N05BA,N05B,N05,N
J01DI,J01D,J01,J
A10BG,A10B,A10,A
A11CA,A11C,A11,A
J05AD,J05A,J05,J
A09AA,A09A,A09,A
S01HA,S01H,S01,S
G03AB,G03A,G03,G
A11DA,A11D,A11,A
L01DB,L01D,L01,L
J01AA,J01A,J01,J
L01XG,L01X,L01,L
L03AB,L03A,L03,L
C05BX,C05B,C05,C
C10AX,C10A,C10,C
A03FA,A03F,A03,A
C09XA,C09X,C09,C
N02AF,N02A,N02,N
L02BB,L02B,L02,L
A02BX,A02B,A02,A
M01AE,M01A,M01,M
J01DE,J01D,J01,J
C05AE,C05A,C05,C
H02AB,H02A,H02,H
J01XA,J01X,J01,J
D09AB,D09A,D09,D
L01CE,L01C,L01,L
J05AR,J05A,J05,J
P01CX,P01C,P01,P
S02CA,S02C,S02,S
N05CC,N05C,N05,N
V03AG,V03A,V03,V
B05BB,B05B,B05,B
D11AC,D11A,D11,D
C01BD,C01B,C01,C
V04CG,V04C,V04,V
A06AA,A06A,A06,A
L01BB,L01B,L01,L
A11CC,A11C,A11,A
J01FA,J01F,J01,J
S03CA,S03C,S03,S
G04BD,G04B,G04,G
J04BA,J04B,J04,J
N02AX,N02A,N02,N
C03AA,C03A,C03,C
V04CB,V04C,V04,V
R06AD,R06A,R06,R
L04AB,L04A,L04,L
H04AA,H04A,H04,H
A05AB,A05A,A05,A
N07XX,N07X,N07,N
V03AC,V03A,V03,V
N03AA,N03A,N03,N
A02BB,A02B,A02,A
C03EA,C03E,C03,C
R01AA,R01A,R01,R
R07AB,R07A,R07,R
A07DA,A07D,A07,A
D06BA,D06B,D06,D
A12CA,A12C,A12,A
C05AX,C05A,C05,C
V03AZ,V03A,V03,V
C02LG,C02L,C02,C
J01CA,J01C,J01,J
J01DH,J01D,J01,J
G03FB,G03F,G03,G
H03AA,H03A,H03,H
H05BX,H05B,H05,H
N07AX,N07A,N07,N
A05AA,A05A,A05,A
L02BG,L02B,L02,L
A02AB,A02A,A02,A
S03AA,S03A,S03,S
N04BX,N04B,N04,N
R05CB,R05C,R05,R
B05BA,B05B,B05,B
A07XA,A07X,A07,A
D08AG,D08A,D08,D
A06AG,A06A,A06,A
A07EA,A07E,A07,A
G04CA,G04C,G04,G
J05AH,J05A,J05,J
G03AA,G03A,G03,G
L01XC,L01X,L01,L
S01CB,S01C,S01,S
A10BB,A10B,A10,A
M03AB,M03A,M03,M
N03AB,N03A,N03,N
B03BB,B03B,B03,B
L02AB,L02A,L02,L
D01AC,D01A,D01,D
J02AX,J02A,J02,J
L04AX,L04A,L04,L
N06AB,N06A,N06,N
D08AL,D08A,D08,D
C05BB,C05B,C05,C
J01GB,J01G,J01,J
P03AB,P03A,P03,P
H01AA,H01A,H01,H
S01EC,S01E,S01,S
G03DB,G03D,G03,G
J05AP,J05A,J05,J
R03DA,R03D,R03,R
C01AA,C01A,C01,C
B01AA,B01A,B01,B
N05CF,N05C,N05,N
N04BC,N04B,N04,N
D08AX,D08A,D08,D
S01EE,S01E,S01,S
N05BB,N05B,N05,N
J05AB,J05A,J05,J
L01AB,L01A,L01,L
L04AA,L04A,L04,L
A12BA,A12B,A12,A
S01ED,S01E,S01,S
A04AD,A04A,A04,A
C07AA,C07A,C07,C
J01XX,J01X,J01,J
D08AC,D08A,D08,D
N06DA,N06D,N06,N
V04CC,V04C,V04,V
B05XX,B05X,B05,B
L01CA,L01C,L01,L
C10AC,C10A,C10,C
D07AC,D07A,D07,D
N03AE,N03A,N03,N
C05CA,C05C,C05,C
N04AB,N04A,N04,N
J01CF,J01C,J01,J
A01AC,A01A,A01,A
B03AE,B03A,B03,B
G03FA,G03F,G03,G
L01BC,L01B,L01,L
J05AE,J05A,J05,J
J06BB,J06B,J06,J
A12CD,A12C,A12,A
R05FB,R05F,R05,R
B01AE,B01A,B01,B
L03AA,L03A,L03,L
V03AE,V03A,V03,V
S01FB,S01F,S01,S
A03AX,A03A,A03,A
J01FG,J01F,J01,J
C03XA,C03X,C03,C
D01AA,D01A,D01,D
M03CA,M03C,M03,M
D04AB,D04A,D04,D
R03DC,R03D,R03,R
R06AE,R06A,R06,R
A12CC,A12C,A12,A
A10AB,A10A,A10,A
A07EC,A07E,A07,A
A10BA,A10B,A10,A
J04AB,J04A,J04,J
G04BX,G04B,G04,G
J07BK,J07B,J07,J
C03AX,C03A,C03,C
D09AA,D09A,D09,D
A06AB,A06A,A06,A
H02CA,H02C,H02,H
H05AA,H05A,H05,H
P01AX,P01A,P01,P
G04BE,G04B,G04,G
D01BA,D01B,D01,D
C02DD,C02D,C02,C
N05CX,N05C,N05,N
N06AF,N06A,N06,N
N01BX,N01B,N01,N
S01AB,S01A,S01,S
A14AA,A14A,A14,A
A06AH,A06A,A06,A
R03AK,R03A,R03,R
V03AF,V03A,V03,V
N06AX,N06A,N06,N
N07BA,N07B,N07,N
A07AA,A07A,A07,A
B02BC,B02B,B02,B
J01XE,J01X,J01,J
C10AB,C10A,C10,C
G03AC,G03A,G03,G
J01FF,J01F,J01,J
C02DB,C02D,C02,C
A10BD,A10B,A10,A
C04AB,C04A,C04,C
V04CD,V04C,V04,V
R03AL,R03A,R03,R
L03AX,L03A,L03,L
J01EE,J01E,J01,J
S01CA,S01C,S01,S
A09AB,A09A,A09,A
J01MA,J01M,J01,J
R02AA,R02A,R02,R
D02AE,D02A,D02,D
D03BA,D03B,D03,D
G01AG,G01A,G01,G
D07AB,D07A,D07,D
N05AC,N05A,N05,N
P01AB,P01A,P01,P
A02BC,A02B,A02,A
J05AG,J05A,J05,J
C02DC,C02D,C02,C
D01AE,D01A,D01,D
B05BC,B05B,B05,B
B01AC,B01A,B01,B
C03AH,C03A,C03,C
B02BD,B02B,B02,B
P03AC,P03A,P03,P
C10AA,C10A,C10,C
L04AC,L04A,L04,L
D07AA,D07A,D07,D
M04AB,M04A,M04,M
A02AD,A02A,A02,A
N04BB,N04B,N04,N
G01AA,G01A,G01,G
G03EA,G03E,G03,G
D07XA,D07X,D07,D
N06BC,N06B,N06,N
A02AA,A02A,A02,A
R01AB,R01A,R01,R
R03BC,R03B,R03,R
R06AX,R06A,R06,R
P01BD,P01B,P01,P
N02CC,N02C,N02,N
A06AC,A06A,A06,A
J07CA,J07C,J07,J
B01AD,B01A,B01,B
B03AD,B03A,B03,B
V04CF,V04C,V04,V
J07AG,J07A,J07,J
M02AB,M02A,M02,M
R05DB,R05D,R05,R
N06BA,N06B,N06,N
M04AX,M04A,M04,M
A10BH,A10B,A10,A
V06DC,V06D,V06,V
D07AD,D07A,D07,D
D10AF,D10A,D10,D
S03BA,S03B,S03,S
R02AX,R02A,R02,R
C03DB,C03D,C03,C
L04AD,L04A,L04,L
N03AF,N03A,N03,N
H03BA,H03B,H03,H
D11AX,D11A,D11,D
S01GX,S01G,S01,S
C03BA,C03B,C03,C
A10AC,A10A,A10,A
S01EX,S01E,S01,S
J07BB,J07B,J07,J
A02AC,A02A,A02,A
N01AX,N01A,N01,N
G03DC,G03D,G03,G
C02CA,C02C,C02,C
R03AC,R03A,R03,R
B03XA,B03X,B03,B
C09CA,C09C,C09,C
A10BX,A10B,A10,A
R05CA,R05C,R05,R
J07AH,J07A,J07,J
D05BX,D05B,D05,D
C01EB,C01E,C01,C
R03BB,R03B,R03,R
S02AA,S02A,S02,S
N07BC,N07B,N07,N
J02AA,J02A,J02,J
D07XB,D07X,D07,D
B03BA,B03B,B03,B
D06BB,D06B,D06,D
L01XX,L01X,L01,L
N02AC,N02A,N02,N
L02AE,L02A,L02,L
M01AB,M01A,M01,M
N07AA,N07A,N07,N
A11GA,A11G,A11,A
N02AB,N02A,N02,N
A16AA,A16A,A16,A
J02AC,J02A,J02,J
B03AA,B03A,B03,B
H02AA,H02A,H02,H
J07AM,J07A,J07,J
N05AD,N05A,N05,N
P01BA,P01B,P01,P
J05AC,J05A,J05,J
R02AB,R02A,R02,R
A05BA,A05B,A05,A
D07XC,D07X,D07,D
R03CC,R03C,R03,R
M01AC,M01A,M01,M
N02BA,N02B,N02,N
G01AE,G01A,G01,G
J01XD,J01X,J01,J
A03AB,A03A,A03,A
P01BC,P01B,P01,P
J07AL,J07A,J07,J
A07BA,A07B,A07,A
M03BA,M03B,M03,M
A01AA,A01A,A01,A
C01BB,C01B,C01,C
G03XC,G03X,G03,G
V03AB,V03A,V03,V
A11HA,A11H,A11,A
R01AX,R01A,R01,R
N03AG,N03A,N03,N
N05AX,N05A,N05,N
N04BA,N04B,N04,N
A10AE,A10A,A10,A
N05CA,N05C,N05,N
H01CB,H01C,H01,H
P02BA,P02B,P02,P
N03AX,N03A,N03,N
C08DB,C08D,C08,C
L03AC,L03A,L03,L
C02LA,C02L,C02,C
G03BA,G03B,G03,G
C02AA,C02A,C02,C
R01AD,R01A,R01,R
N05AF,N05A,N05,N
N02AJ,N02A,N02,N
D06BX,D06B,D06,D
C03CA,C03C,C03,C
N05CM,N05C,N05,N
R02AD,R02A,R02,R
D10AE,D10A,D10,D
C01CE,C01C,C01,C
B03AB,B03A,B03,B
L01EA,L01E,L01,L
D03AX,D03A,D03,D
L01BA,L01B,L01,L
J07BC,J07B,J07,J
J01DD,J01D,J01,J
B05CA,B05C,B05,B
N01AH,N01A,N01,N
D08AE,D08A,D08,D
M03BX,M03B,M03,M
A07FA,A07F,A07,A
S01AE,S01A,S01,S
S01GA,S01G,S01,S
C05AA,C05A,C05,C
N05AN,N05A,N05,N
N06AA,N06A,N06,N
B02AB,B02A,B02,B
L01AX,L01A,L01,L
A07EB,A07E,A07,A
L02BA,L02B,L02,L
A01AB,A01A,A01,A
A04AA,A04A,A04,A
B05AA,B05A,B05,B
G03CA,G03C,G03,G
G04CB,G04C,G04,G
D05AX,D05A,D05,D
J05AF,J05A,J05,J
B01AF,B01A,B01,B
J01GA,J01G,J01,J
A03BB,A03B,A03,A
N04AA,N04A,N04,N
V09IX,V09I,V09,V
C03CC,C03C,C03,C
N05AH,N05A,N05,N
