l3,l2,l1
613,60-64.99,00-99.99
9925,87-99.99,00-99.99
5137,42-54.99,00-99.99
3847,35-39.99,00-99.99
7805,76-84.99,00-99.99
7963,76-84.99,00-99.99
3328,30-34.99,00-99.99
8892,87-99.99,00-99.99
5789,55-59.99,00-99.99
504,42-54.99,00-99.99
7829,76-84.99,00-99.99
5411,42-54.99,00-99.99
0110,01-05.99,00-99.99
3528,35-39.99,00-99.99
8777,87-99.99,00-99.99
0762,06-07.99,00-99.99
688,65-71.99,00-99.99
3174,30-34.99,00-99.99
3922,35-39.99,00-99.99
7909,76-84.99,00-99.99
7904,76-84.99,00-99.99
2756,21-29.99,00-99.99
0055,00-00.99,00-99.99
8382,76-84.99,00-99.99
245,21-29.99,00-99.99
3888,35-39.99,00-99.99
2101,21-29.99,00-99.99
8934,87-99.99,00-99.99
0231,01-05.99,00-99.99
3951,35-39.99,00-99.99
3711,35-39.99,00-99.99
7077,65-71.99,00-99.99
8314,76-84.99,00-99.99
7711,76-84.99,00-99.99
3834,35-39.99,00-99.99
5169,42-54.99,00-99.99
5383,42-54.99,00-99.99
5212,42-54.99,00-99.99
8853,87-99.99,00-99.99
7643,76-84.99,00-99.99
0125,01-05.99,00-99.99
3956,35-39.99,00-99.99
5123,42-54.99,00-99.99
1682,08-16.99,00-99.99
5412,42-54.99,00-99.99
0018,00-00.99,00-99.99
8591,85-86.99,00-99.99
8401,76-84.99,00-99.99
9969,87-99.99,00-99.99
5013,42-54.99,00-99.99
3343,30-34.99,00-99.99
7062,65-71.99,00-99.99
7743,76-84.99,00-99.99
0242,01-05.99,00-99.99
8663,85-86.99,00-99.99
4686,42-54.99,00-99.99
3733,35-39.99,00-99.99
0124,01-05.99,00-99.99
4466,42-54.99,00-99.99
5159,42-54.99,00-99.99
3812,35-39.99,00-99.99
3451,30-34.99,00-99.99
8819,87-99.99,00-99.99
0022,00-00.99,00-99.99
252,21-29.99,00-99.99
3591,35-39.99,00-99.99
632,60-64.99,00-99.99
642,60-64.99,00-99.99
0046,00-00.99,00-99.99
0017,00-00.99,00-99.99
3818,35-39.99,00-99.99
7906,76-84.99,00-99.99
5300,42-54.99,00-99.99
8662,85-86.99,00-99.99
4639,42-54.99,00-99.99
3326,30-34.99,00-99.99
539,42-54.99,00-99.99
8877,87-99.99,00-99.99
850,85-86.99,00-99.99
7741,76-84.99,00-99.99
8471,76-84.99,00-99.99
6739,65-71.99,00-99.99
0291,01-05.99,00-99.99
1292,08-16.99,00-99.99
8035,76-84.99,00-99.99
2757,21-29.99,00-99.99
9468,87-99.99,00-99.99
7902,76-84.99,00-99.99
5029,42-54.99,00-99.99
0204,01-05.99,00-99.99
0028,00-00.99,00-99.99
8867,87-99.99,00-99.99
5310,42-54.99,00-99.99
315,30-34.99,00-99.99
3452,30-34.99,00-99.99
8675,85-86.99,00-99.99
3473,30-34.99,00-99.99
3614,35-39.99,00-99.99
0044,00-00.99,00-99.99
7861,76-84.99,00-99.99
9919,87-99.99,00-99.99
0131,01-05.99,00-99.99
0234,01-05.99,00-99.99
9914,87-99.99,00-99.99
3999,35-39.99,00-99.99
9462,87-99.99,00-99.99
3324,30-34.99,00-99.99
4530,42-54.99,00-99.99
3426,30-34.99,00-99.99
8041,76-84.99,00-99.99
4681,42-54.99,00-99.99
7731,76-84.99,00-99.99
9723,87-99.99,00-99.99
1434,08-16.99,00-99.99
9239,87-99.99,00-99.99
7679,76-84.99,00-99.99
1659,08-16.99,00-99.99
4503,42-54.99,00-99.99
8843,87-99.99,00-99.99
5303,42-54.99,00-99.99
8944,87-99.99,00-99.99
7851,76-84.99,00-99.99
229,21-29.99,00-99.99
9917,87-99.99,00-99.99
4583,42-54.99,00-99.99
576,55-59.99,00-99.99
3401,30-34.99,00-99.99
5051,42-54.99,00-99.99
7974,76-84.99,00-99.99
0203,01-05.99,00-99.99
4601,42-54.99,00-99.99
8703,87-99.99,00-99.99
5451,42-54.99,00-99.99
7975,76-84.99,00-99.99
4651,42-54.99,00-99.99
4673,42-54.99,00-99.99
8584,85-86.99,00-99.99
043,01-05.99,00-99.99
4946,42-54.99,00-99.99
8075,76-84.99,00-99.99
313,30-34.99,00-99.99
3604,35-39.99,00-99.99
3220,30-34.99,00-99.99
7663,76-84.99,00-99.99
7747,76-84.99,00-99.99
4104,40-41.99,00-99.99
4611,42-54.99,00-99.99
8961,87-99.99,00-99.99
4024,40-41.99,00-99.99
3809,35-39.99,00-99.99
4879,42-54.99,00-99.99
9396,87-99.99,00-99.99
6095,60-64.99,00-99.99
7771,76-84.99,00-99.99
0032,00-00.99,00-99.99
0101,01-05.99,00-99.99
8534,85-86.99,00-99.99
0077,00-00.99,00-99.99
5059,42-54.99,00-99.99
3193,30-34.99,00-99.99
5143,42-54.99,00-99.99
5672,55-59.99,00-99.99
7818,76-84.99,00-99.99
4449,42-54.99,00-99.99
5012,42-54.99,00-99.99
5198,42-54.99,00-99.99
9224,87-99.99,00-99.99
0122,01-05.99,00-99.99
5902,55-59.99,00-99.99
4255,42-54.99,00-99.99
0481,01-05.99,00-99.99
4233,42-54.99,00-99.99
3973,35-39.99,00-99.99
8532,85-86.99,00-99.99
0059,00-00.99,00-99.99
3724,35-39.99,00-99.99
3459,30-34.99,00-99.99
3789,35-39.99,00-99.99
4431,42-54.99,00-99.99
3721,35-39.99,00-99.99
5641,55-59.99,00-99.99
5380,42-54.99,00-99.99
9979,87-99.99,00-99.99
5196,42-54.99,00-99.99
3765,35-39.99,00-99.99
9656,87-99.99,00-99.99
3403,30-34.99,00-99.99
3420,30-34.99,00-99.99
2911,21-29.99,00-99.99
9788,87-99.99,00-99.99
8016,76-84.99,00-99.99
3848,35-39.99,00-99.99
8932,87-99.99,00-99.99
2260,21-29.99,00-99.99
7122,65-71.99,00-99.99
7639,76-84.99,00-99.99
8891,87-99.99,00-99.99
4832,42-54.99,00-99.99
3749,35-39.99,00-99.99
8847,87-99.99,00-99.99
7859,76-84.99,00-99.99
8221,76-84.99,00-99.99
0211,01-05.99,00-99.99
4942,42-54.99,00-99.99
8721,87-99.99,00-99.99
9744,87-99.99,00-99.99
4621,42-54.99,00-99.99
4592,42-54.99,00-99.99
5114,42-54.99,00-99.99
4463,42-54.99,00-99.99
2109,21-29.99,00-99.99
4222,42-54.99,00-99.99
0353,01-05.99,00-99.99
3699,35-39.99,00-99.99
3803,35-39.99,00-99.99
0233,01-05.99,00-99.99
3943,35-39.99,00-99.99
0651,06-07.99,00-99.99
8085,76-84.99,00-99.99
3893,35-39.99,00-99.99
403,40-41.99,00-99.99
4501,42-54.99,00-99.99
5979,55-59.99,00-99.99
8754,87-99.99,00-99.99
3959,35-39.99,00-99.99
8849,87-99.99,00-99.99
3775,35-39.99,00-99.99
7672,76-84.99,00-99.99
310,30-34.99,00-99.99
0054,00-00.99,00-99.99
8199,76-84.99,00-99.99
062,06-07.99,00-99.99
8769,87-99.99,00-99.99
3958,35-39.99,00-99.99
8926,87-99.99,00-99.99
7742,76-84.99,00-99.99
3869,35-39.99,00-99.99
5194,42-54.99,00-99.99
7967,76-84.99,00-99.99
8137,76-84.99,00-99.99
6269,60-64.99,00-99.99
8015,76-84.99,00-99.99
5523,55-59.99,00-99.99
8014,76-84.99,00-99.99
554,55-59.99,00-99.99
3169,30-34.99,00-99.99
4502,42-54.99,00-99.99
5784,55-59.99,00-99.99
8744,87-99.99,00-99.99
290,21-29.99,00-99.99
5164,42-54.99,00-99.99
0072,00-00.99,00-99.99
4696,42-54.99,00-99.99
4623,42-54.99,00-99.99
9805,87-99.99,00-99.99
4671,42-54.99,00-99.99
2309,21-29.99,00-99.99
5553,55-59.99,00-99.99
3525,35-39.99,00-99.99
5421,42-54.99,00-99.99
3941,35-39.99,00-99.99
0092,00-00.99,00-99.99
4265,42-54.99,00-99.99
8865,87-99.99,00-99.99
3774,35-39.99,00-99.99
8960,87-99.99,00-99.99
8753,87-99.99,00-99.99
8967,87-99.99,00-99.99
5499,42-54.99,00-99.99
8842,87-99.99,00-99.99
9652,87-99.99,00-99.99
3925,35-39.99,00-99.99
1755,17-17.99,00-99.99
9737,87-99.99,00-99.99
4640,42-54.99,00-99.99
2263,21-29.99,00-99.99
7857,76-84.99,00-99.99
4292,42-54.99,00-99.99
415,40-41.99,00-99.99
3799,35-39.99,00-99.99
9635,87-99.99,00-99.99
4562,42-54.99,00-99.99
9671,87-99.99,00-99.99
7979,76-84.99,00-99.99
3171,30-34.99,00-99.99
4652,42-54.99,00-99.99
7987,76-84.99,00-99.99
8345,76-84.99,00-99.99
3950,35-39.99,00-99.99
2121,21-29.99,00-99.99
4529,42-54.99,00-99.99
2102,21-29.99,00-99.99
9227,87-99.99,00-99.99
7702,76-84.99,00-99.99
8622,85-86.99,00-99.99
4282,42-54.99,00-99.99
8762,87-99.99,00-99.99
4519,42-54.99,00-99.99
3781,35-39.99,00-99.99
8838,87-99.99,00-99.99
391,35-39.99,00-99.99
3975,35-39.99,00-99.99
8105,76-84.99,00-99.99
0012,00-00.99,00-99.99
8696,85-86.99,00-99.99
8132,76-84.99,00-99.99
8133,76-84.99,00-99.99
7768,76-84.99,00-99.99
3815,35-39.99,00-99.99
7765,76-84.99,00-99.99
0205,01-05.99,00-99.99
5463,42-54.99,00-99.99
9955,87-99.99,00-99.99
5141,42-54.99,00-99.99
3783,35-39.99,00-99.99
3199,30-34.99,00-99.99
5142,42-54.99,00-99.99
8623,85-86.99,00-99.99
5492,42-54.99,00-99.99
9427,87-99.99,00-99.99
9393,87-99.99,00-99.99
0040,00-00.99,00-99.99
7789,76-84.99,00-99.99
4469,42-54.99,00-99.99
8962,87-99.99,00-99.99
3862,35-39.99,00-99.99
3807,35-39.99,00-99.99
2319,21-29.99,00-99.99
3776,35-39.99,00-99.99
2211,21-29.99,00-99.99
3867,35-39.99,00-99.99
8394,76-84.99,00-99.99
8181,76-84.99,00-99.99
4572,42-54.99,00-99.99
8661,85-86.99,00-99.99
8344,76-84.99,00-99.99
5909,55-59.99,00-99.99
7812,76-84.99,00-99.99
8166,76-84.99,00-99.99
1371,08-16.99,00-99.99
500,42-54.99,00-99.99
0602,06-07.99,00-99.99
3791,35-39.99,00-99.99
3593,35-39.99,00-99.99
966,87-99.99,00-99.99
0221,01-05.99,00-99.99
8774,87-99.99,00-99.99
4413,42-54.99,00-99.99
8098,76-84.99,00-99.99
5282,42-54.99,00-99.99
8106,76-84.99,00-99.99
7699,76-84.99,00-99.99
0441,01-05.99,00-99.99
3736,35-39.99,00-99.99
3195,30-34.99,00-99.99
4574,42-54.99,00-99.99
3228,30-34.99,00-99.99
8850,87-99.99,00-99.99
9205,87-99.99,00-99.99
9607,87-99.99,00-99.99
9761,87-99.99,00-99.99
8146,76-84.99,00-99.99
3552,35-39.99,00-99.99
3731,35-39.99,00-99.99
412,40-41.99,00-99.99
016,01-05.99,00-99.99
3804,35-39.99,00-99.99
5301,42-54.99,00-99.99
5280,42-54.99,00-99.99
3993,35-39.99,00-99.99
3179,30-34.99,00-99.99
4522,42-54.99,00-99.99
8154,76-84.99,00-99.99
3329,30-34.99,00-99.99
8919,87-99.99,00-99.99
0118,01-05.99,00-99.99
6071,60-64.99,00-99.99
9738,87-99.99,00-99.99
5011,42-54.99,00-99.99
9756,87-99.99,00-99.99
331,30-34.99,00-99.99
9905,87-99.99,00-99.99
8841,87-99.99,00-99.99
3373,30-34.99,00-99.99
5187,42-54.99,00-99.99
5569,55-59.99,00-99.99
0492,01-05.99,00-99.99
0601,06-07.99,00-99.99
5201,42-54.99,00-99.99
6091,60-64.99,00-99.99
8343,76-84.99,00-99.99
8604,85-86.99,00-99.99
6595,65-71.99,00-99.99
3422,30-34.99,00-99.99
9904,87-99.99,00-99.99
8772,87-99.99,00-99.99
8968,87-99.99,00-99.99
713,65-71.99,00-99.99
3404,30-34.99,00-99.99
8171,76-84.99,00-99.99
3532,35-39.99,00-99.99
8595,85-86.99,00-99.99
4679,42-54.99,00-99.99
0852,08-16.99,00-99.99
8363,76-84.99,00-99.99
0139,01-05.99,00-99.99
7962,76-84.99,00-99.99
8113,76-84.99,00-99.99
0302,01-05.99,00-99.99
4414,42-54.99,00-99.99
8573,85-86.99,00-99.99
4224,42-54.99,00-99.99
9633,87-99.99,00-99.99
3998,35-39.99,00-99.99
4131,40-41.99,00-99.99
3511,35-39.99,00-99.99
0861,08-16.99,00-99.99
4198,40-41.99,00-99.99
8452,76-84.99,00-99.99
0851,08-16.99,00-99.99
3883,35-39.99,00-99.99
4101,40-41.99,00-99.99
5771,55-59.99,00-99.99
458,42-54.99,00-99.99
4419,42-54.99,00-99.99
3844,35-39.99,00-99.99
0332,01-05.99,00-99.99
562,55-59.99,00-99.99
5651,55-59.99,00-99.99
1770,17-17.99,00-99.99
2723,21-29.99,00-99.99
5472,42-54.99,00-99.99
5351,42-54.99,00-99.99
857,85-86.99,00-99.99
4676,42-54.99,00-99.99
3720,35-39.99,00-99.99
9982,87-99.99,00-99.99
5371,42-54.99,00-99.99
0127,01-05.99,00-99.99
8114,76-84.99,00-99.99
8245,76-84.99,00-99.99
762,76-84.99,00-99.99
3725,35-39.99,00-99.99
0489,01-05.99,00-99.99
9230,87-99.99,00-99.99
5732,55-59.99,00-99.99
570,55-59.99,00-99.99
843,76-84.99,00-99.99
5497,42-54.99,00-99.99
9602,87-99.99,00-99.99
3892,35-39.99,00-99.99
0721,06-07.99,00-99.99
6829,65-71.99,00-99.99
4059,40-41.99,00-99.99
8036,76-84.99,00-99.99
9655,87-99.99,00-99.99
3961,35-39.99,00-99.99
4862,42-54.99,00-99.99
0611,06-07.99,00-99.99
7807,76-84.99,00-99.99
8079,76-84.99,00-99.99
9962,87-99.99,00-99.99
6859,65-71.99,00-99.99
8033,76-84.99,00-99.99
3421,30-34.99,00-99.99
9900,87-99.99,00-99.99
5792,55-59.99,00-99.99
4422,42-54.99,00-99.99
5102,42-54.99,00-99.99
3932,35-39.99,00-99.99
9959,87-99.99,00-99.99
8285,76-84.99,00-99.99
7934,76-84.99,00-99.99
8684,85-86.99,00-99.99
3144,30-34.99,00-99.99
6529,65-71.99,00-99.99
0294,01-05.99,00-99.99
7749,76-84.99,00-99.99
6062,60-64.99,00-99.99
2722,21-29.99,00-99.99
437,42-54.99,00-99.99
7809,76-84.99,00-99.99
8212,76-84.99,00-99.99
8863,87-99.99,00-99.99
3974,35-39.99,00-99.99
9906,87-99.99,00-99.99
0063,00-00.99,00-99.99
4242,42-54.99,00-99.99
3990,35-39.99,00-99.99
8151,76-84.99,00-99.99
3129,30-34.99,00-99.99
5462,42-54.99,00-99.99
4552,42-54.99,00-99.99
3885,35-39.99,00-99.99
3971,35-39.99,00-99.99
7914,76-84.99,00-99.99
8922,87-99.99,00-99.99
9749,87-99.99,00-99.99
8164,76-84.99,00-99.99
8814,87-99.99,00-99.99
0639,06-07.99,00-99.99
9341,87-99.99,00-99.99
7788,76-84.99,00-99.99
7692,76-84.99,00-99.99
5252,42-54.99,00-99.99
8856,87-99.99,00-99.99
9463,87-99.99,00-99.99
5151,42-54.99,00-99.99
5349,42-54.99,00-99.99
6029,60-64.99,00-99.99
4523,42-54.99,00-99.99
6539,65-71.99,00-99.99
8388,76-84.99,00-99.99
0061,00-00.99,00-99.99
3732,35-39.99,00-99.99
0772,06-07.99,00-99.99
9960,87-99.99,00-99.99
3491,30-34.99,00-99.99
7779,76-84.99,00-99.99
8751,87-99.99,00-99.99
5586,55-59.99,00-99.99
0207,01-05.99,00-99.99
8775,87-99.99,00-99.99
5305,42-54.99,00-99.99
0359,01-05.99,00-99.99
683,65-71.99,00-99.99
7674,76-84.99,00-99.99
2632,21-29.99,00-99.99
3726,35-39.99,00-99.99
2753,21-29.99,00-99.99
0052,00-00.99,00-99.99
5179,42-54.99,00-99.99
3886,35-39.99,00-99.99
5103,42-54.99,00-99.99
2731,21-29.99,00-99.99
3764,35-39.99,00-99.99
0403,01-05.99,00-99.99
0243,01-05.99,00-99.99
7926,76-84.99,00-99.99
0689,06-07.99,00-99.99
7092,65-71.99,00-99.99
3889,35-39.99,00-99.99
0051,00-00.99,00-99.99
3571,35-39.99,00-99.99
8840,87-99.99,00-99.99
4232,42-54.99,00-99.99
8686,85-86.99,00-99.99
343,30-34.99,00-99.99
282,21-29.99,00-99.99
0033,00-00.99,00-99.99
2242,21-29.99,00-99.99
4042,40-41.99,00-99.99
4432,42-54.99,00-99.99
3894,35-39.99,00-99.99
4439,42-54.99,00-99.99
5121,42-54.99,00-99.99
409,40-41.99,00-99.99
7701,76-84.99,00-99.99
4863,42-54.99,00-99.99
8574,85-86.99,00-99.99
0113,01-05.99,00-99.99
4674,42-54.99,00-99.99
4022,40-41.99,00-99.99
7838,76-84.99,00-99.99
7847,76-84.99,00-99.99
5631,55-59.99,00-99.99
8084,76-84.99,00-99.99
9963,87-99.99,00-99.99
8422,76-84.99,00-99.99
1839,18-20.99,00-99.99
3785,35-39.99,00-99.99
9636,87-99.99,00-99.99
0395,01-05.99,00-99.99
5749,55-59.99,00-99.99
5369,42-54.99,00-99.99
3976,35-39.99,00-99.99
8854,87-99.99,00-99.99
3808,35-39.99,00-99.99
8611,85-86.99,00-99.99
4499,42-54.99,00-99.99
8875,87-99.99,00-99.99
8897,87-99.99,00-99.99
2912,21-29.99,00-99.99
4441,42-54.99,00-99.99
9326,87-99.99,00-99.99
3814,35-39.99,00-99.99
5222,42-54.99,00-99.99
0114,01-05.99,00-99.99
0412,01-05.99,00-99.99
9449,87-99.99,00-99.99
5795,55-59.99,00-99.99
3881,35-39.99,00-99.99
3899,35-39.99,00-99.99
3512,35-39.99,00-99.99
480,42-54.99,00-99.99
0609,06-07.99,00-99.99
0123,01-05.99,00-99.99
7869,76-84.99,00-99.99
7631,76-84.99,00-99.99
3561,35-39.99,00-99.99
0041,00-00.99,00-99.99
3241,30-34.99,00-99.99
0084,00-00.99,00-99.99
7939,76-84.99,00-99.99
3728,35-39.99,00-99.99
4438,42-54.99,00-99.99
5671,55-59.99,00-99.99
8852,87-99.99,00-99.99
3143,30-34.99,00-99.99
5674,55-59.99,00-99.99
0392,01-05.99,00-99.99
9978,87-99.99,00-99.99
5502,55-59.99,00-99.99
9802,87-99.99,00-99.99
5110,42-54.99,00-99.99
2100,21-29.99,00-99.99
6816,65-71.99,00-99.99
503,42-54.99,00-99.99
5642,55-59.99,00-99.99
9909,87-99.99,00-99.99
3727,35-39.99,00-99.99
3611,35-39.99,00-99.99
0132,01-05.99,00-99.99
0024,00-00.99,00-99.99
0010,00-00.99,00-99.99
0074,00-00.99,00-99.99
8099,76-84.99,00-99.99
603,60-64.99,00-99.99
4281,42-54.99,00-99.99
4516,42-54.99,00-99.99
0292,01-05.99,00-99.99
4979,42-54.99,00-99.99
3816,35-39.99,00-99.99
4011,40-41.99,00-99.99
0407,01-05.99,00-99.99
8619,85-86.99,00-99.99
3029,30-34.99,00-99.99
3619,35-39.99,00-99.99
7907,76-84.99,00-99.99
7931,76-84.99,00-99.99
387,35-39.99,00-99.99
5329,42-54.99,00-99.99
2724,21-29.99,00-99.99
7785,76-84.99,00-99.99
0083,00-00.99,00-99.99
8845,87-99.99,00-99.99
9941,87-99.99,00-99.99
684,65-71.99,00-99.99
8006,76-84.99,00-99.99
5424,42-54.99,00-99.99
7761,76-84.99,00-99.99
4254,42-54.99,00-99.99
4694,42-54.99,00-99.99
8332,76-84.99,00-99.99
4622,42-54.99,00-99.99
8073,76-84.99,00-99.99
4514,42-54.99,00-99.99
5024,42-54.99,00-99.99
3322,30-34.99,00-99.99
4399,42-54.99,00-99.99
0781,06-07.99,00-99.99
8086,76-84.99,00-99.99
3321,30-34.99,00-99.99
